email,emailErr,password,passwordErr,confirmPassword,confirmPasswordErr,companyName, companyNameErr,companyCui,companyCuiErr,companyRegistrationcode,companyRegistrationCodeErr,companyCountyIndex,companyCountyErr,companyLocalityIndex,companyLocalityIndexErr,companyStreet,companyStreetErr,name,nameErr,phone,phoneErr,countyOptionIndex,countyErr,localityOptionIndex,localityErr,street,streetErr,acceptTerms,acceptTermsErr
 ,Introduceti adresa de e-mail!, ,Introduceti parola!, ,Confirmati parola!, ,Introduceti numele firmei!, ,Introduceti codul unic (CUI)!, ,Introduceti codul de inregistrare!,0,Selectati judetul!,0,Selectati localitatea!, ,Introduceti adresa!, ,Introduceti numele!, ,Introduceti nr. de telefon!,0,Selectati judetul!,0,Selectati localitatea!, ,Introduceti strada!,TRUE,
companie@domeniu.com, ,mosulpass, ,mosulpass, ,CompanieNume, ,12365, ,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,1234567890, ,2, ,2, ,StradaPers, ,FALSE,Trebuie sa accepti termenii si conditiile
a,Introduceti o adresa de e-mail corecta!,mosulpass, ,mosulpass, ,CompanieNume, ,12365, ,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,1234567890, ,2, ,2, ,StradaPers, ,TRUE,
companie@domeniu.com,, ,Introduceti parola!, ,Confirmati parola!,CompanieNume, ,12365, ,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,1234567890, ,2, ,2, ,StradaPers, ,TRUE, 
companie@domeniu.com, ,pas, ,passs,Parolele nu se potrivesc!,CompanieNume, ,12365, ,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,1234567890, ,2, ,2, ,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, , ,Introduceti numele firmei!,12365,,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,1234567890, ,2, ,2, ,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, , ,Introduceti codul unic (CUI)!,J/5/5, ,1, ,2, ,StradaComp,,OwnerNume, ,1234567890, ,2, ,2, ,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, ,RO123, ,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,1234567890, ,2, ,2, ,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, ,12365, ,,Introduceti codul de inregistrare!,1, ,2, ,StradaComp, ,OwnerNume, ,1234567890, ,2, ,2, ,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, ,12365, ,J/5/5,,0,Selectati judetul!,0,Selectati localitatea!,StradaComp,,OwnerNume,,1234567890,,0,Selectati judetul!,0,Selectati localitatea!,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, ,12365, ,J/5/5,,1, ,2, ,,Introduceti adresa!,OwnerNume,,1234567890,,2, ,2,,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, ,12365, ,J/5/5,,1, ,2, ,StradaComp,,,Introduceti numele!,1234567890,,2, ,2,,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, ,12365, ,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,a,Numarul de telefon contine minim 10 cifre!,2, ,2,,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, ,12365, ,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,abcdefghij,Numarul de telefon contine minim 10 cifre!,2, ,2,,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, ,12365, ,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,1,Numarul de telefon contine minim 10 cifre!,2, ,2,,StradaPers, ,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, ,12365, ,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,123456789,Numarul de telefon contine minim 10 cifre!,2, ,2,,StradaPers,,TRUE,
companie@domeniu.com, ,companiepass, ,companiepass, ,CompanieNume, ,12365, ,J/5/5, ,1, ,2, ,StradaComp, ,OwnerNume, ,1234567890, ,2, ,2,, ,Introduceti strada!,TRUE,
